Mes,Dia,Hora,TempPromedioHora,TempPromedioMes,TempNeutraMes
1,1,1,2.935483870967742,7.488440860215054,20.12141666666667
1,1,2,2.6129032258064515,7.488440860215054,20.12141666666667
1,1,3,2.4838709677419355,7.488440860215054,20.12141666666667
1,1,4,2.032258064516129,7.488440860215054,20.12141666666667
1,1,5,1.564516129032258,7.488440860215054,20.12141666666667
1,1,6,1.4516129032258065,7.488440860215054,20.12141666666667
1,1,7,1.4516129032258065,7.488440860215054,20.12141666666667
1,1,8,1.567741935483871,7.488440860215054,20.12141666666667
1,1,9,4.303225806451613,7.488440860215054,20.12141666666667
1,1,10,8.658064516129032,7.488440860215054,20.12141666666667
1,1,11,11.529032258064515,7.488440860215054,20.12141666666667
1,1,12,13.303225806451612,7.488440860215054,20.12141666666667
1,1,13,14.870967741935484,7.488440860215054,20.12141666666667
1,1,14,15.483870967741936,7.488440860215054,20.12141666666667
1,1,15,15.903225806451612,7.488440860215054,20.12141666666667
1,1,16,15.709677419354838,7.488440860215054,20.12141666666667
1,1,17,15.129032258064516,7.488440860215054,20.12141666666667
1,1,18,13.193548387096774,7.488440860215054,20.12141666666667
1,1,19,9.870967741935484,7.488440860215054,20.12141666666667
1,1,20,7.696774193548387,7.488440860215054,20.12141666666667
1,1,21,6.093548387096774,7.488440860215054,20.12141666666667
1,1,22,4.861290322580645,7.488440860215054,20.12141666666667
1,1,23,3.5080645161290325,7.488440860215054,20.12141666666667
1,1,23,3.5080645161290325,7.488440860215054,20.12141666666667
1,2,1,2.935483870967742,7.488440860215054,20.12141666666667
1,2,2,2.6129032258064515,7.488440860215054,20.12141666666667
1,2,3,2.4838709677419355,7.488440860215054,20.12141666666667
1,2,4,2.032258064516129,7.488440860215054,20.12141666666667
1,2,5,1.564516129032258,7.488440860215054,20.12141666666667
1,2,6,1.4516129032258065,7.488440860215054,20.12141666666667
1,2,7,1.4516129032258065,7.488440860215054,20.12141666666667
1,2,8,1.567741935483871,7.488440860215054,20.12141666666667
1,2,9,4.303225806451613,7.488440860215054,20.12141666666667
1,2,10,8.658064516129032,7.488440860215054,20.12141666666667
1,2,11,11.529032258064515,7.488440860215054,20.12141666666667
1,2,12,13.303225806451612,7.488440860215054,20.12141666666667
1,2,13,14.870967741935484,7.488440860215054,20.12141666666667
1,2,14,15.483870967741936,7.488440860215054,20.12141666666667
1,2,15,15.903225806451612,7.488440860215054,20.12141666666667
1,2,16,15.709677419354838,7.488440860215054,20.12141666666667
1,2,17,15.129032258064516,7.488440860215054,20.12141666666667
1,2,18,13.193548387096774,7.488440860215054,20.12141666666667
1,2,19,9.870967741935484,7.488440860215054,20.12141666666667
1,2,20,7.696774193548387,7.488440860215054,20.12141666666667
1,2,21,6.093548387096774,7.488440860215054,20.12141666666667
1,2,22,4.861290322580645,7.488440860215054,20.12141666666667
1,2,23,3.5080645161290325,7.488440860215054,20.12141666666667
1,2,23,3.5080645161290325,7.488440860215054,20.12141666666667
1,3,1,2.935483870967742,7.488440860215054,20.12141666666667
1,3,2,2.6129032258064515,7.488440860215054,20.12141666666667
1,3,3,2.4838709677419355,7.488440860215054,20.12141666666667
1,3,4,2.032258064516129,7.488440860215054,20.12141666666667
1,3,5,1.564516129032258,7.488440860215054,20.12141666666667
1,3,6,1.4516129032258065,7.488440860215054,20.12141666666667
1,3,7,1.4516129032258065,7.488440860215054,20.12141666666667
1,3,8,1.567741935483871,7.488440860215054,20.12141666666667
1,3,9,4.303225806451613,7.488440860215054,20.12141666666667
1,3,10,8.658064516129032,7.488440860215054,20.12141666666667
1,3,11,11.529032258064515,7.488440860215054,20.12141666666667
1,3,12,13.303225806451612,7.488440860215054,20.12141666666667
1,3,13,14.870967741935484,7.488440860215054,20.12141666666667
1,3,14,15.483870967741936,7.488440860215054,20.12141666666667
1,3,15,15.903225806451612,7.488440860215054,20.12141666666667
1,3,16,15.709677419354838,7.488440860215054,20.12141666666667
1,3,17,15.129032258064516,7.488440860215054,20.12141666666667
1,3,18,13.193548387096774,7.488440860215054,20.12141666666667
1,3,19,9.870967741935484,7.488440860215054,20.12141666666667
1,3,20,7.696774193548387,7.488440860215054,20.12141666666667
1,3,21,6.093548387096774,7.488440860215054,20.12141666666667
1,3,22,4.861290322580645,7.488440860215054,20.12141666666667
1,3,23,3.5080645161290325,7.488440860215054,20.12141666666667
1,3,23,3.5080645161290325,7.488440860215054,20.12141666666667
1,4,1,2.935483870967742,7.488440860215054,20.12141666666667
1,4,2,2.6129032258064515,7.488440860215054,20.12141666666667
1,4,3,2.4838709677419355,7.488440860215054,20.12141666666667
1,4,4,2.032258064516129,7.488440860215054,20.12141666666667
1,4,5,1.564516129032258,7.488440860215054,20.12141666666667
1,4,6,1.4516129032258065,7.488440860215054,20.12141666666667
1,4,7,1.4516129032258065,7.488440860215054,20.12141666666667
1,4,8,1.567741935483871,7.488440860215054,20.12141666666667
1,4,9,4.303225806451613,7.488440860215054,20.12141666666667
1,4,10,8.658064516129032,7.488440860215054,20.12141666666667
1,4,11,11.529032258064515,7.488440860215054,20.12141666666667
1,4,12,13.303225806451612,7.488440860215054,20.12141666666667
1,4,13,14.870967741935484,7.488440860215054,20.12141666666667
1,4,14,15.483870967741936,7.488440860215054,20.12141666666667
1,4,15,15.903225806451612,7.488440860215054,20.12141666666667
1,4,16,15.709677419354838,7.488440860215054,20.12141666666667
