Mes,Día,Hora,TemperaturaPromedioHora,TemperaturaPromedioDelMes,TemperaturaNeutraDelMes
1,1,1,12.448387096774193,14.860483870967743,22.406750000000002
1,1,2,11.596774193548388,14.860483870967743,22.406750000000002
1,1,3,10.741935483870968,14.860483870967743,22.406750000000002
1,1,4,9.870967741935484,14.860483870967743,22.406750000000002
1,1,5,9.029032258064515,14.860483870967743,22.406750000000002
1,1,6,8.474193548387097,14.860483870967743,22.406750000000002
1,1,7,7.854838709677419,14.860483870967743,22.406750000000002
1,1,8,8.774193548387096,14.860483870967743,22.406750000000002
1,1,9,10.5,14.860483870967743,22.406750000000002
1,1,10,13.567741935483872,14.860483870967743,22.406750000000002
1,1,11,16.280645161290323,14.860483870967743,22.406750000000002
1,1,12,18.887096774193548,14.860483870967743,22.406750000000002
1,1,13,20.374193548387098,14.860483870967743,22.406750000000002
1,1,14,21.438709677419357,14.860483870967743,22.406750000000002
1,1,15,22.01290322580645,14.860483870967743,22.406750000000002
1,1,16,22.009677419354837,14.860483870967743,22.406750000000002
1,1,17,20.983870967741936,14.860483870967743,22.406750000000002
1,1,18,19.793548387096774,14.860483870967743,22.406750000000002
1,1,19,18.032258064516128,14.860483870967743,22.406750000000002
1,1,20,16.69677419354839,14.860483870967743,22.406750000000002
1,1,21,15.561290322580644,14.860483870967743,22.406750000000002
1,1,22,14.683870967741935,14.860483870967743,22.406750000000002
1,1,23,13.519354838709678,14.860483870967743,22.406750000000002
1,1,23,13.519354838709678,14.860483870967743,22.406750000000002
1,2,1,12.448387096774193,14.860483870967743,22.406750000000002
1,2,2,11.596774193548388,14.860483870967743,22.406750000000002
1,2,3,10.741935483870968,14.860483870967743,22.406750000000002
1,2,4,9.870967741935484,14.860483870967743,22.406750000000002
1,2,5,9.029032258064515,14.860483870967743,22.406750000000002
1,2,6,8.474193548387097,14.860483870967743,22.406750000000002
1,2,7,7.854838709677419,14.860483870967743,22.406750000000002
1,2,8,8.774193548387096,14.860483870967743,22.406750000000002
1,2,9,10.5,14.860483870967743,22.406750000000002
1,2,10,13.567741935483872,14.860483870967743,22.406750000000002
1,2,11,16.280645161290323,14.860483870967743,22.406750000000002
1,2,12,18.887096774193548,14.860483870967743,22.406750000000002
1,2,13,20.374193548387098,14.860483870967743,22.406750000000002
1,2,14,21.438709677419357,14.860483870967743,22.406750000000002
1,2,15,22.01290322580645,14.860483870967743,22.406750000000002
1,2,16,22.009677419354837,14.860483870967743,22.406750000000002
1,2,17,20.983870967741936,14.860483870967743,22.406750000000002
1,2,18,19.793548387096774,14.860483870967743,22.406750000000002
1,2,19,18.032258064516128,14.860483870967743,22.406750000000002
1,2,20,16.69677419354839,14.860483870967743,22.406750000000002
1,2,21,15.561290322580644,14.860483870967743,22.406750000000002
1,2,22,14.683870967741935,14.860483870967743,22.406750000000002
1,2,23,13.519354838709678,14.860483870967743,22.406750000000002
1,2,23,13.519354838709678,14.860483870967743,22.406750000000002
1,3,1,12.448387096774193,14.860483870967743,22.406750000000002
1,3,2,11.596774193548388,14.860483870967743,22.406750000000002
1,3,3,10.741935483870968,14.860483870967743,22.406750000000002
1,3,4,9.870967741935484,14.860483870967743,22.406750000000002
1,3,5,9.029032258064515,14.860483870967743,22.406750000000002
1,3,6,8.474193548387097,14.860483870967743,22.406750000000002
1,3,7,7.854838709677419,14.860483870967743,22.406750000000002
1,3,8,8.774193548387096,14.860483870967743,22.406750000000002
1,3,9,10.5,14.860483870967743,22.406750000000002
1,3,10,13.567741935483872,14.860483870967743,22.406750000000002
1,3,11,16.280645161290323,14.860483870967743,22.406750000000002
1,3,12,18.887096774193548,14.860483870967743,22.406750000000002
1,3,13,20.374193548387098,14.860483870967743,22.406750000000002
1,3,14,21.438709677419357,14.860483870967743,22.406750000000002
1,3,15,22.01290322580645,14.860483870967743,22.406750000000002
1,3,16,22.009677419354837,14.860483870967743,22.406750000000002
1,3,17,20.983870967741936,14.860483870967743,22.406750000000002
1,3,18,19.793548387096774,14.860483870967743,22.406750000000002
1,3,19,18.032258064516128,14.860483870967743,22.406750000000002
1,3,20,16.69677419354839,14.860483870967743,22.406750000000002
1,3,21,15.561290322580644,14.860483870967743,22.406750000000002
1,3,22,14.683870967741935,14.860483870967743,22.406750000000002
1,3,23,13.519354838709678,14.860483870967743,22.406750000000002
1,3,23,13.519354838709678,14.860483870967743,22.406750000000002
1,4,1,12.448387096774193,14.860483870967743,22.406750000000002
1,4,2,11.596774193548388,14.860483870967743,22.406750000000002
1,4,3,10.741935483870968,14.860483870967743,22.406750000000002
1,4,4,9.870967741935484,14.860483870967743,22.406750000000002
1,4,5,9.029032258064515,14.860483870967743,22.406750000000002
1,4,6,8.474193548387097,14.860483870967743,22.406750000000002
1,4,7,7.854838709677419,14.860483870967743,22.406750000000002
1,4,8,8.774193548387096,14.860483870967743,22.406750000000002
1,4,9,10.5,14.860483870967743,22.406750000000002
1,4,10,13.567741935483872,14.860483870967743,22.406750000000002
1,4,11,16.280645161290323,14.860483870967743,22.406750000000002
1,4,12,18.887096774193548,14.860483870967743,22.406750000000002
1,4,13,20.374193548387098,14.860483870967743,22.406750000000002
1,4,14,21.438709677419357,14.860483870967743,22.406750000000002
1,4,15,22.01290322580645,14.860483870967743,22.406750000000002
1,4,16,22.009677419354837,14.860483870967743,22.406750000000002
1,4,17,20.983870967741936,14.860483870967743,22.406750000000002
1,4,18,19.793548387096774,14.860483870967743,22.406750000000002
