Mes,Dia,Hora,TempPromedioHora,TempPromedioMes,TempNeutraMes
1,1,1,23.61935483870968,26.59717741935484,26.045125
1,1,2,22.861290322580647,26.59717741935484,26.045125
1,1,3,22.10967741935484,26.59717741935484,26.045125
1,1,4,21.65806451612903,26.59717741935484,26.045125
1,1,5,21.27741935483871,26.59717741935484,26.045125
1,1,6,20.970967741935485,26.59717741935484,26.045125
1,1,7,20.93548387096774,26.59717741935484,26.045125
1,1,8,22.809677419354838,26.59717741935484,26.045125
1,1,9,25.174193548387095,26.59717741935484,26.045125
1,1,10,27.396774193548385,26.59717741935484,26.045125
1,1,11,29.351612903225806,26.59717741935484,26.045125
1,1,12,30.84193548387097,26.59717741935484,26.045125
1,1,13,31.91290322580645,26.59717741935484,26.045125
1,1,14,32.541935483870965,26.59717741935484,26.045125
1,1,15,32.71935483870968,26.59717741935484,26.045125
1,1,16,32.25806451612903,26.59717741935484,26.045125
1,1,17,31.125806451612902,26.59717741935484,26.045125
1,1,18,29.58709677419355,26.59717741935484,26.045125
1,1,19,28.725806451612904,26.59717741935484,26.045125
1,1,20,27.874193548387098,26.59717741935484,26.045125
1,1,21,26.996774193548386,26.59717741935484,26.045125
1,1,22,26.116129032258065,26.59717741935484,26.045125
1,1,23,24.733870967741936,26.59717741935484,26.045125
1,1,23,24.733870967741936,26.59717741935484,26.045125
1,2,1,23.61935483870968,26.59717741935484,26.045125
1,2,2,22.861290322580647,26.59717741935484,26.045125
1,2,3,22.10967741935484,26.59717741935484,26.045125
1,2,4,21.65806451612903,26.59717741935484,26.045125
1,2,5,21.27741935483871,26.59717741935484,26.045125
1,2,6,20.970967741935485,26.59717741935484,26.045125
1,2,7,20.93548387096774,26.59717741935484,26.045125
1,2,8,22.809677419354838,26.59717741935484,26.045125
1,2,9,25.174193548387095,26.59717741935484,26.045125
1,2,10,27.396774193548385,26.59717741935484,26.045125
1,2,11,29.351612903225806,26.59717741935484,26.045125
1,2,12,30.84193548387097,26.59717741935484,26.045125
1,2,13,31.91290322580645,26.59717741935484,26.045125
1,2,14,32.541935483870965,26.59717741935484,26.045125
1,2,15,32.71935483870968,26.59717741935484,26.045125
1,2,16,32.25806451612903,26.59717741935484,26.045125
1,2,17,31.125806451612902,26.59717741935484,26.045125
1,2,18,29.58709677419355,26.59717741935484,26.045125
1,2,19,28.725806451612904,26.59717741935484,26.045125
1,2,20,27.874193548387098,26.59717741935484,26.045125
1,2,21,26.996774193548386,26.59717741935484,26.045125
1,2,22,26.116129032258065,26.59717741935484,26.045125
1,2,23,24.733870967741936,26.59717741935484,26.045125
1,2,23,24.733870967741936,26.59717741935484,26.045125
1,3,1,23.61935483870968,26.59717741935484,26.045125
1,3,2,22.861290322580647,26.59717741935484,26.045125
1,3,3,22.10967741935484,26.59717741935484,26.045125
1,3,4,21.65806451612903,26.59717741935484,26.045125
1,3,5,21.27741935483871,26.59717741935484,26.045125
1,3,6,20.970967741935485,26.59717741935484,26.045125
1,3,7,20.93548387096774,26.59717741935484,26.045125
1,3,8,22.809677419354838,26.59717741935484,26.045125
1,3,9,25.174193548387095,26.59717741935484,26.045125
1,3,10,27.396774193548385,26.59717741935484,26.045125
1,3,11,29.351612903225806,26.59717741935484,26.045125
1,3,12,30.84193548387097,26.59717741935484,26.045125
1,3,13,31.91290322580645,26.59717741935484,26.045125
1,3,14,32.541935483870965,26.59717741935484,26.045125
1,3,15,32.71935483870968,26.59717741935484,26.045125
1,3,16,32.25806451612903,26.59717741935484,26.045125
1,3,17,31.125806451612902,26.59717741935484,26.045125
1,3,18,29.58709677419355,26.59717741935484,26.045125
1,3,19,28.725806451612904,26.59717741935484,26.045125
1,3,20,27.874193548387098,26.59717741935484,26.045125
1,3,21,26.996774193548386,26.59717741935484,26.045125
1,3,22,26.116129032258065,26.59717741935484,26.045125
1,3,23,24.733870967741936,26.59717741935484,26.045125
1,3,23,24.733870967741936,26.59717741935484,26.045125
1,4,1,23.61935483870968,26.59717741935484,26.045125
1,4,2,22.861290322580647,26.59717741935484,26.045125
1,4,3,22.10967741935484,26.59717741935484,26.045125
1,4,4,21.65806451612903,26.59717741935484,26.045125
1,4,5,21.27741935483871,26.59717741935484,26.045125
1,4,6,20.970967741935485,26.59717741935484,26.045125
1,4,7,20.93548387096774,26.59717741935484,26.045125
1,4,8,22.809677419354838,26.59717741935484,26.045125
1,4,9,25.174193548387095,26.59717741935484,26.045125
1,4,10,27.396774193548385,26.59717741935484,26.045125
1,4,11,29.351612903225806,26.59717741935484,26.045125
1,4,12,30.84193548387097,26.59717741935484,26.045125
1,4,13,31.91290322580645,26.59717741935484,26.045125
1,4,14,32.541935483870965,26.59717741935484,26.045125
1,4,15,32.71935483870968,26.59717741935484,26.045125
1,4,16,32.25806451612903,26.59717741935484,26.045125
1,4,17,31.125806451612902,26.59717741935484,26.045125
1,4,18,29.58709677419355,26.59717741935484,26.045125
1,4,19,28.725806451612904,26.59717741935484,26.045125
1,4,20,27.874193548387098,26.59717741935484,26.045125
1,4,21,26.996774193548386,26.59717741935484,26.045125
1,4,22,26.116129032258065,26.59717741935484,26.045125
1,4,23,24.733870967741936,26.59717741935484,26.045125
1,4,23,24.733870967741936,26.59717741935484,26.045125
1,5,1,23.61935483870968,26.59717741935484,26.045125
1,5,2,22.861290322580647,26.59717741935484,26.045125
1,5,3,22.10967741935484,26.59717741935484,26.045125
1,5,4,21.65806451612903,26.59717741935484,26.045125
1,5,5,21.27741935483871,26.59717741935484,26.045125
1,5,6,20.970967741935485,26.59717741935484,26.045125
1,5,7,20.93548387096774,26.59717741935484,26.045125
1,5,8,22.809677419354838,26.59717741935484,26.045125
1,5,9,25.174193548387095,26.59717741935484,26.045125
1,5,10,27.396774193548385,26.59717741935484,26.045125
1,5,11,29.351612903225806,26.59717741935484,26.045125
1,5,12,30.84193548387097,26.59717741935484,26.045125
1,5,13,31.91290322580645,26.59717741935484,26.045125
1,5,14,32.541935483870965,26.59717741935484,26.045125
1,5,15,32.71935483870968,26.59717741935484,26.045125
1,5,16,32.25806451612903,26.59717741935484,26.045125
1,5,17,31.125806451612902,26.59717741935484,26.045125
1,5,18,29.58709677419355,26.59717741935484,26.045125
1,5,19,28.725806451612904,26.59717741935484,26.045125
1,5,20,27.874193548387098,26.59717741935484,26.045125
1,5,21,26.996774193548386,26.59717741935484,26.045125
1,5,22,26.116129032258065,26.59717741935484,26.045125
1,5,23,24.733870967741936,26.59717741935484,26.045125
1,5,23,24.733870967741936,26.59717741935484,26.045125
1,6,1,23.61935483870968,26.59717741935484,26.045125
1,6,2,22.861290322580647,26.59717741935484,26.045125
1,6,3,22.10967741935484,26.59717741935484,26.045125
1,6,4,21.65806451612903,26.59717741935484,26.045125
1,6,5,21.27741935483871,26.59717741935484,26.045125
1,6,6,20.970967741935485,26.59717741935484,26.045125
1,6,7,20.93548387096774,26.59717741935484,26.045125
1,6,8,22.809677419354838,26.59717741935484,26.045125
1,6,9,25.174193548387095,26.59717741935484,26.045125
1,6,10,27.396774193548385,26.59717741935484,26.045125
1,6,11,29.351612903225806,26.59717741935484,26.045125
1,6,12,30.84193548387097,26.59717741935484,26.045125
1,6,13,31.91290322580645,26.59717741935484,26.045125
1,6,14,32.541935483870965,26.59717741935484,26.045125
1,6,15,32.71935483870968,26.59717741935484,26.045125
1,6,16,32.25806451612903,26.59717741935484,26.045125
1,6,17,31.125806451612902,26.59717741935484,26.045125
1,6,18,29.58709677419355,26.59717741935484,26.045125
1,6,19,28.725806451612904,26.59717741935484,26.045125
1,6,20,27.874193548387098,26.59717741935484,26.045125
1,6,21,26.996774193548386,26.59717741935484,26.045125
1,6,22,26.116129032258065,26.59717741935484,26.045125
1,6,23,24.733870967741936,26.59717741935484,26.045125
1,6,23,24.733870967741936,26.59717741935484,26.045125
1,7,1,23.61935483870968,26.59717741935484,26.045125
1,7,2,22.861290322580647,26.59717741935484,26.045125
1,7,3,22.10967741935484,26.59717741935484,26.045125
1,7,4,21.65806451612903,26.59717741935484,26.045125
1,7,5,21.27741935483871,26.59717741935484,26.045125
1,7,6,20.970967741935485,26.59717741935484,26.045125
1,7,7,20.93548387096774,26.59717741935484,26.045125
1,7,8,22.809677419354838,26.59717741935484,26.045125
1,7,9,25.174193548387095,26.59717741935484,26.045125
1,7,10,27.396774193548385,26.59717741935484,26.045125
1,7,11,29.351612903225806,26.59717741935484,26.045125
1,7,12,30.84193548387097,26.59717741935484,26.045125
1,7,13,31.91290322580645,26.59717741935484,26.045125
1,7,14,32.541935483870965,26.59717741935484,26.045125
1,7,15,32.71935483870968,26.59717741935484,26.045125
1,7,16,32.25806451612903,26.59717741935484,26.045125
1,7,17,31.125806451612902,26.59717741935484,26.045125
1,7,18,29.58709677419355,26.59717741935484,26.045125
1,7,19,28.725806451612904,26.59717741935484,26.045125
1,7,20,27.874193548387098,26.59717741935484,26.045125
1,7,21,26.996774193548386,26.59717741935484,26.045125
1,7,22,26.116129032258065,26.59717741935484,26.045125
