Mes,Día,Hora,TempPromedioHora,TempPromedioMes,TempNeutraMes
1,1,1,19.780645161290323,22.838709677419356,24.880000000000003
1,1,2,19.006451612903227,22.838709677419356,24.880000000000003
1,1,3,18.203225806451613,22.838709677419356,24.880000000000003
1,1,4,17.774193548387096,22.838709677419356,24.880000000000003
1,1,5,17.345161290322583,22.838709677419356,24.880000000000003
1,1,6,17.032258064516128,22.838709677419356,24.880000000000003
1,1,7,17.02258064516129,22.838709677419356,24.880000000000003
1,1,8,18.770967741935483,22.838709677419356,24.880000000000003
1,1,9,21.177419354838708,22.838709677419356,24.880000000000003
1,1,10,23.490322580645163,22.838709677419356,24.880000000000003
1,1,11,25.48709677419355,22.838709677419356,24.880000000000003
1,1,12,27.106451612903225,22.838709677419356,24.880000000000003
1,1,13,28.206451612903226,22.838709677419356,24.880000000000003
1,1,14,28.903225806451612,22.838709677419356,24.880000000000003
1,1,15,29.112903225806452,22.838709677419356,24.880000000000003
1,1,16,28.706451612903226,22.838709677419356,24.880000000000003
1,1,17,27.574193548387097,22.838709677419356,24.880000000000003
1,1,18,26.029032258064515,22.838709677419356,24.880000000000003
1,1,19,25.16774193548387,22.838709677419356,24.880000000000003
1,1,20,24.283870967741933,22.838709677419356,24.880000000000003
1,1,21,23.39032258064516,22.838709677419356,24.880000000000003
1,1,22,22.4741935483871,22.838709677419356,24.880000000000003
1,1,23,21.041935483870965,22.838709677419356,24.880000000000003
1,1,23,21.041935483870965,22.838709677419356,24.880000000000003
1,2,1,19.780645161290323,22.838709677419356,24.880000000000003
1,2,2,19.006451612903227,22.838709677419356,24.880000000000003
1,2,3,18.203225806451613,22.838709677419356,24.880000000000003
1,2,4,17.774193548387096,22.838709677419356,24.880000000000003
1,2,5,17.345161290322583,22.838709677419356,24.880000000000003
1,2,6,17.032258064516128,22.838709677419356,24.880000000000003
1,2,7,17.02258064516129,22.838709677419356,24.880000000000003
1,2,8,18.770967741935483,22.838709677419356,24.880000000000003
1,2,9,21.177419354838708,22.838709677419356,24.880000000000003
1,2,10,23.490322580645163,22.838709677419356,24.880000000000003
1,2,11,25.48709677419355,22.838709677419356,24.880000000000003
1,2,12,27.106451612903225,22.838709677419356,24.880000000000003
1,2,13,28.206451612903226,22.838709677419356,24.880000000000003
1,2,14,28.903225806451612,22.838709677419356,24.880000000000003
1,2,15,29.112903225806452,22.838709677419356,24.880000000000003
1,2,16,28.706451612903226,22.838709677419356,24.880000000000003
1,2,17,27.574193548387097,22.838709677419356,24.880000000000003
1,2,18,26.029032258064515,22.838709677419356,24.880000000000003
1,2,19,25.16774193548387,22.838709677419356,24.880000000000003
1,2,20,24.283870967741933,22.838709677419356,24.880000000000003
1,2,21,23.39032258064516,22.838709677419356,24.880000000000003
1,2,22,22.4741935483871,22.838709677419356,24.880000000000003
1,2,23,21.041935483870965,22.838709677419356,24.880000000000003
1,2,23,21.041935483870965,22.838709677419356,24.880000000000003
1,3,1,19.780645161290323,22.838709677419356,24.880000000000003
1,3,2,19.006451612903227,22.838709677419356,24.880000000000003
1,3,3,18.203225806451613,22.838709677419356,24.880000000000003
1,3,4,17.774193548387096,22.838709677419356,24.880000000000003
1,3,5,17.345161290322583,22.838709677419356,24.880000000000003
1,3,6,17.032258064516128,22.838709677419356,24.880000000000003
1,3,7,17.02258064516129,22.838709677419356,24.880000000000003
1,3,8,18.770967741935483,22.838709677419356,24.880000000000003
1,3,9,21.177419354838708,22.838709677419356,24.880000000000003
1,3,10,23.490322580645163,22.838709677419356,24.880000000000003
1,3,11,25.48709677419355,22.838709677419356,24.880000000000003
1,3,12,27.106451612903225,22.838709677419356,24.880000000000003
1,3,13,28.206451612903226,22.838709677419356,24.880000000000003
1,3,14,28.903225806451612,22.838709677419356,24.880000000000003
1,3,15,29.112903225806452,22.838709677419356,24.880000000000003
1,3,16,28.706451612903226,22.838709677419356,24.880000000000003
1,3,17,27.574193548387097,22.838709677419356,24.880000000000003
1,3,18,26.029032258064515,22.838709677419356,24.880000000000003
1,3,19,25.16774193548387,22.838709677419356,24.880000000000003
1,3,20,24.283870967741933,22.838709677419356,24.880000000000003
1,3,21,23.39032258064516,22.838709677419356,24.880000000000003
1,3,22,22.4741935483871,22.838709677419356,24.880000000000003
1,3,23,21.041935483870965,22.838709677419356,24.880000000000003
1,3,23,21.041935483870965,22.838709677419356,24.880000000000003
1,4,1,19.780645161290323,22.838709677419356,24.880000000000003
1,4,2,19.006451612903227,22.838709677419356,24.880000000000003
1,4,3,18.203225806451613,22.838709677419356,24.880000000000003
1,4,4,17.774193548387096,22.838709677419356,24.880000000000003
1,4,5,17.345161290322583,22.838709677419356,24.880000000000003
1,4,6,17.032258064516128,22.838709677419356,24.880000000000003
1,4,7,17.02258064516129,22.838709677419356,24.880000000000003
1,4,8,18.770967741935483,22.838709677419356,24.880000000000003
1,4,9,21.177419354838708,22.838709677419356,24.880000000000003
1,4,10,23.490322580645163,22.838709677419356,24.880000000000003
1,4,11,25.48709677419355,22.838709677419356,24.880000000000003
1,4,12,27.106451612903225,22.838709677419356,24.880000000000003
1,4,13,28.206451612903226,22.838709677419356,24.880000000000003
1,4,14,28.903225806451612,22.838709677419356,24.880000000000003
1,4,15,29.112903225806452,22.838709677419356,24.880000000000003
1,4,16,28.706451612903226,22.838709677419356,24.880000000000003
1,4,17,27.574193548387097,22.838709677419356,24.880000000000003
1,4,18,26.029032258064515,22.838709677419356,24.880000000000003
1,4,19,25.16774193548387,22.838709677419356,24.880000000000003
1,4,20,24.283870967741933,22.838709677419356,24.880000000000003
1,4,21,23.39032258064516,22.838709677419356,24.880000000000003
1,4,22,22.4741935483871,22.838709677419356,24.880000000000003
1,4,23,21.041935483870965,22.838709677419356,24.880000000000003
1,4,23,21.041935483870965,22.838709677419356,24.880000000000003
1,5,1,19.780645161290323,22.838709677419356,24.880000000000003
1,5,2,19.006451612903227,22.838709677419356,24.880000000000003
1,5,3,18.203225806451613,22.838709677419356,24.880000000000003
1,5,4,17.774193548387096,22.838709677419356,24.880000000000003
1,5,5,17.345161290322583,22.838709677419356,24.880000000000003
1,5,6,17.032258064516128,22.838709677419356,24.880000000000003
1,5,7,17.02258064516129,22.838709677419356,24.880000000000003
1,5,8,18.770967741935483,22.838709677419356,24.880000000000003
1,5,9,21.177419354838708,22.838709677419356,24.880000000000003
1,5,10,23.490322580645163,22.838709677419356,24.880000000000003
1,5,11,25.48709677419355,22.838709677419356,24.880000000000003
1,5,12,27.106451612903225,22.838709677419356,24.880000000000003
1,5,13,28.206451612903226,22.838709677419356,24.880000000000003
1,5,14,28.903225806451612,22.838709677419356,24.880000000000003
1,5,15,29.112903225806452,22.838709677419356,24.880000000000003
1,5,16,28.706451612903226,22.838709677419356,24.880000000000003
1,5,17,27.574193548387097,22.838709677419356,24.880000000000003
1,5,18,26.029032258064515,22.838709677419356,24.880000000000003
1,5,19,25.16774193548387,22.838709677419356,24.880000000000003
1,5,20,24.283870967741933,22.838709677419356,24.880000000000003
1,5,21,23.39032258064516,22.838709677419356,24.880000000000003
1,5,22,22.4741935483871,22.838709677419356,24.880000000000003
1,5,23,21.041935483870965,22.838709677419356,24.880000000000003
1,5,23,21.041935483870965,22.838709677419356,24.880000000000003
1,6,1,19.780645161290323,22.838709677419356,24.880000000000003
1,6,2,19.006451612903227,22.838709677419356,24.880000000000003
1,6,3,18.203225806451613,22.838709677419356,24.880000000000003
